                                                                                                    0x00001505
ABILITIES                                                                                           0x5987c381
DamageDealtFloaties                                                                                 0x48340cf9
DamageReceivedFloaties                                                                              0xe836c28e
DefaultCard                                                                                         0x78157aba
DialogueVolume                                                                                      0xae417295
Difficulty                                                                                          0xbd84fa76
Divine (Ghostly Voice)                                                                              0x83aaa659
Dorian                                                                                              0x9ba188da
Double Chin                                                                                         0x3e99bd1c
EDIT                                                                                                0x7c7c7459
ELF_FEMALE_INQUISITOR_NAME                                                                          0xb39d444d
ELF_MALE_INQUISITOR_NAME                                                                            0xb3e8438e
EMPTY_SLOT                                                                                          0x7ee8414b
EP0006                                                                                              0x8e013db6
EPBAR_LEVEL_TEXT                                                                                    0x9b921eaa
EQUIPMENT                                                                                           0xea2b1d4f
EQUIPMENT_MENU_ITEM                                                                                 0xbbea55a9
EQUIP_DISABLED                                                                                      0xea5aef92
EQUIP_FAIL                                                                                          0x2e4b97e0
EXAMINE                                                                                             0x68d4f496
EXIT                                                                                                0x7c7cc745
EXITTOMENU                                                                                          0xb11718ed
EXIT_SCREEN_CONFIRM_QUERY                                                                           0x12e099ee
EXIT_SCREEN_CONFIRM_TITLE                                                                           0x12964624
EXIT_SCREEN_MULTIPLAYER_CONFIRM_QUERY                                                               0x3e5734ab
EXIT_SCREEN_MULTIPLAYER_CONFIRM_TITLE                                                               0x3ebb4be1
EXIT_SLOT_GRID_CONFIRMATION                                                                         0x509a0bc9
EXPORTSAVECOMMAND                                                                                   0x3c6a3b47
EXPORTSAVECONFIRM                                                                                   0x3c779a72
EXPORTSAVEERROR                                                                                     0x23eaaeb8
EXPORTSAVEFINISHED                                                                                  0xba938ed2
EXPORTSAVEREQUIREMENTS                                                                              0xaf890a8c
EXTRAS                                                                                              0x8ec745cc
EXTRAS_ACHIEVEMENTS                                                                                 0x2127b347
EXTRAS_BENCHMARK                                                                                    0x96517b44
EXTRAS_CREDITS                                                                                      0x7c9c4d2d
EXTRAS_IMPORTMIGRATIONSAVEGAME                                                                      0xff523c4d
EXTRAS_KEEP                                                                                         0xaed02308
EXTRAS_MANUAL                                                                                       0xa80a7c49
EXTRAS_MIGRATEMPACCOUNT                                                                             0x3470700e
EXTRAS_PRIVACYPOLICY                                                                                0xc30f1bf5
EXTRAS_TOS                                                                                          0x892ccf1b
EXTRAS_TROPHIES                                                                                     0x01be505d
Ear Position                                                                                        0x60bd5bea
Ear Size                                                                                            0xd034cd16
Earlobe Size                                                                                        0xc7608ed2
EffectsFloaties                                                                                     0x6f8c21ee
EffectsQuality                                                                                      0xb61f5bcc
Elven Servant                                                                                       0x98a84818
EnableGore                                                                                          0x46f985bb
EnableSubtitles                                                                                     0x98ca3773
EnableUnfocusedVoip                                                                                 0x671fc012
EnhancedTargeting                                                                                   0x7d26cada
Equipment                                                                                           0x622c1c8f
Eye Color                                                                                           0x113f27a1
Eye Position                                                                                        0x3e2b1245
Eye Rotation and Spacing                                                                            0xba96f9a2
Eye Shadow Color                                                                                    0x05366647
Eye Shadow Intensity                                                                                0x1324f655
Eye Shape                                                                                           0x102239b3
Eye Size                                                                                            0xe9375e39
Eyebrow Position                                                                                    0x8ac1e42d
Eyebrow Style                                                                                       0x882d38c3
Eyelash Color                                                                                       0xc3e12dd7
Eyelash Style                                                                                       0xc4feecdd
Eyeliner Color                                                                                      0xff9079dd
Eyeliner Intensity                                                                                  0x04f00fcf
Eyes                                                                                                0x7c7c402f
FEMALE                                                                                              0x940d8d23
FORCES_TEXT                                                                                         0x8160bac9
FORMAT3                                                                                             0x2df89595
Face Shape                                                                                          0x75264b2b
False                                                                                               0x0c4d6f38
Fangs                                                                                               0x0c4d7538
FieldOfView                                                                                         0x84c83fc3
FillingHealthBar                                                                                    0xd09a6e67
FloatyArmorBar                                                                                      0xc5dd97fe
FloatyBarrierBar                                                                                    0x03ea9a40
FloatyHealthBar                                                                                     0x8beae3e1
FloatyHealthBarBkg                                                                                  0x78a081af
FloatyHealthBarFriendly                                                                             0x359f1c26
FloatyPauseInfo                                                                                     0x395b1910
ForceMouseLook                                                                                      0x7216d8be
Forehead                                                                                            0x4449f3d3
FrameActive                                                                                         0xa4bbb2d4
FriendlyFire                                                                                        0xe78a70ba
FrontLeftLeg                                                                                        0x42f786d1
FrontRight                                                                                          0x2393b904
FrontRightLeg                                                                                       0x4428682a
FullScreenMode                                                                                      0xcd758299
FullText                                                                                            0xf19a1a0b
FullTextBlackout                                                                                    0x89d64f42
FullTextCenter                                                                                      0x5c1eae20
FullscreenMode                                                                                      0x5030c779
GAMEOPTIONS_BUTTON_LABEL                                                                            0xeeb5d5ab
GARDEN_CHANTRY                                                                                      0xc1140c7a
GARDEN_HERB                                                                                         0xfcfe079c
GOLD_AMOUNT_TEMPLATE                                                                                0x0d74bd79
GOLD_CURRENCY_LABEL                                                                                 0xca3b9144
GameOption_Mantle                                                                                   0xfd993d48
GameOptions_Resolution                                                                              0x42c9736a
GamePad                                                                                             0xab96983e
GamePadLeftDPadNew                                                                                  0x003374c8
Gamma                                                                                               0x0c61b122
Gardner                                                                                             0xab68eeec
GenderTab                                                                                           0x3dc84c8d
General                                                                                             0xb3e521d3
GoldStack                                                                                           0x39a7bb0b
Grab                                                                                                0x7c7f4233
Grade_IconBoss1                                                                                     0x345f1658
Grade_IconBoss2                                                                                     0x345f165b
Grade_IconBoss3                                                                                     0x345f165a
Grade_IconBoss4                                                                                     0x345f165d
Grade_IconElite1                                                                                    0xa776a9c4
Grade_IconElite2                                                                                    0xa776a9c7
Grade_IconElite3                                                                                    0xa776a9c6
Grade_IconElite4                                                                                    0xa776a9c1
Grade_IconNormal1                                                                                   0xe9b65946
Grade_IconNormal2                                                                                   0xe9b65945
Grade_IconNormal3                                                                                   0xe9b65944
Grade_IconNormal4                                                                                   0xe9b65943
Grand Chancellor Roderick                                                                           0x5337d16b
Grand Enchanter Fiona                                                                               0x02c25178
GraphicsEffects                                                                                     0x3544eef4
GraphicsMesh                                                                                        0x7f2375e3
GraphicsMultisampleAA                                                                               0x3a6327df
GraphicsPostprocess                                                                                 0x987a6d23
GraphicsPostprocessAA                                                                               0xa0ca4a43
GraphicsQuality                                                                                     0x5e42083d
GraphicsShader                                                                                      0x90f2da19
GraphicsShadow                                                                                      0x90f2d956
GraphicsTerrain                                                                                     0xb15d5e07
GraphicsTessellation                                                                                0x58f65019
GraphicsTexture                                                                                     0xb215ac2f
GraphicsUndergrowth                                                                                 0xc5ca6769
GraphicsWater                                                                                       0x61c06b05
HERO_CLASS_LABEL                                                                                    0x8a60f33d
HERO_GENDER_FEMALE                                                                                  0xbf89242c
HERO_GENDER_LABEL                                                                                   0x14a124cc
HERO_GENDER_MALE                                                                                    0xbacf192f
HERO_LEVEL_LABEL                                                                                    0x57d0d7c5
HERO_MENU_BUYNOW                                                                                    0x8ab25b7e
HERO_NAME_LABEL                                                                                     0x7aa7d374
HERO_RACE_LABEL                                                                                     0x2ae999a6
HUMAN_FEMALE_INQUISITOR_NAME                                                                        0x9e2c351d
HUMAN_MALE_INQUISITOR_NAME                                                                          0x6992775e
Hair                                                                                                0x7c8611d7
Hair Color                                                                                          0x3dec372a
Hawke                                                                                               0x0d489675
Head                                                                                                0x7c8601cd
Head and Ears                                                                                       0x57f79b23
Helmet                                                                                              0xb60c0c18
Hero (Ghostly Voice)                                                                                0x9e438e50
HideHelmet                                                                                          0xa4f49eb8
HideToneIcons                                                                                       0x5b5cb00d
HighlightLoot                                                                                       0x54b6606d
HighlightUsableObjects                                                                              0x216a901f
Hips                                                                                                0x7c85f2e7
Horizontal Position                                                                                 0x87966322
Horn                                                                                                0x7c85fa3e
HornTurn                                                                                            0xe7258bc3
Horns                                                                                               0x0d45418d
Horrified Gawker 1                                                                                  0x496b67f9
Horrified Gawker 2                                                                                  0x496b67fa
ID_Account                                                                                          0x70f77716
ID_AdvancedDisplay                                                                                  0x2a02e9b3
ID_AudioCompressionMode                                                                             0xcb84b86c
ID_Banner                                                                                           0xa888ac63
ID_Banner_Chantry                                                                                   0xba6b9ec7
ID_Banner_Dalish                                                                                    0x2795a647
ID_Banner_Dwarven                                                                                   0x0c5f1d01
ID_Banner_Ferelden                                                                                  0xcba5e70b
ID_Banner_FreeMarches                                                                               0xf7999feb
ID_Banner_IP1                                                                                       0xdbe9ab74
ID_Banner_IP3                                                                                       0xdbe9ab76
ID_Banner_Inquisition                                                                               0xc5ba78f0
ID_Banner_Magi                                                                                      0x591ca73e
ID_Banner_Orlesian                                                                                  0xe1f0b9dd
ID_Banner_Templar                                                                                   0x537fcb8f
ID_Banner_Tevinter                                                                                  0x0556ea9f
ID_Banner_Warden                                                                                    0x0df38177
ID_Base1_Var1                                                                                       0x5530b158
ID_Base1_Var4                                                                                       0x5530b15d
ID_Base1_Var5                                                                                       0x5530b15c
ID_Base2_Var1                                                                                       0x57a8d17b
ID_Base2_Var2                                                                                       0x57a8d178
ID_Base2_Var5                                                                                       0x57a8d17f
ID_Base2_Var6                                                                                       0x57a8d17c
ID_Base3_Var1                                                                                       0x59d6b11a
ID_Base3_Var4                                                                                       0x59d6b11f
ID_Bed                                                                                              0xa8d903b4
ID_Bed_DLC1                                                                                         0xbf9495f1
ID_Bed_Dwarven_1                                                                                    0x572a7bd8
ID_Bed_FreeMarches                                                                                  0xb96bc9bc
ID_Bed_FreeMarches_2                                                                                0xc3852df1
ID_Bed_IP1                                                                                          0xb078a9e3
ID_Bed_IP3                                                                                          0xb078a9e1
ID_Bed_Orlesian                                                                                     0xc705816a
ID_Bed_Orlesian_2                                                                                   0x9e6b8da7
ID_Bed_Orlesian_3                                                                                   0x9e6b8da6
ID_BogUnicorn_Warpaint                                                                              0x445464e6
ID_CATEGORY_COLDRESISTANCE                                                                          0x0b18823f
ID_CATEGORY_CONFUSIONGRENADE                                                                        0xe7cfa76c
ID_CATEGORY_CROWPOISON                                                                              0x725de655
ID_CATEGORY_ELECTRICITYRESISTANCE                                                                   0xf1e36d5c
ID_CATEGORY_ELFROOT                                                                                 0x80a69231
ID_CATEGORY_FIREBOMB                                                                                0x1accf6e2
ID_CATEGORY_FIRERESISTANCE                                                                          0xb6380283
ID_CATEGORY_HEAL                                                                                    0x686df978
ID_CATEGORY_HEALINGMIST                                                                             0xffcca4bb
ID_CATEGORY_INSECTSWARM                                                                             0x77d7ef84
ID_CATEGORY_LYRIUM                                                                                  0x4457edee
ID_CATEGORY_MIGHTYOFFENSE                                                                           0x675ef80c
ID_CATEGORY_OOZEGRENADE                                                                             0x69f8ccd9
ID_CATEGORY_SPIRITRESISTANCE                                                                        0xcc57f33e
ID_CATEGORY_STONESKIN                                                                               0x40c4d204
ID_CHARACTERRECORD                                                                                  0xc113e2a3
ID_Category1                                                                                        0x81540c16
ID_Category2                                                                                        0x81540c15
ID_Category3                                                                                        0x81540c14
ID_Category4                                                                                        0x81540c13
ID_Common                                                                                           0xab44757a
ID_Connections                                                                                      0xf5d47e72
ID_Connections_Agent_Barter_By_Belle                                                                0xfc897be0
ID_Connections_Agent_DLC1_Segrid                                                                    0x3b9f52c0
ID_Connections_Agent_Enchanter_Ellendra                                                             0x6b0bd381
ID_Connections_Agent_Fairbanks                                                                      0x6e52e0a2
ID_Connections_Agent_Grand_Duchess                                                                  0xa643c0b5
ID_Connections_Agent_Lord_Berand                                                                    0xd60f22ff
ID_Connections_Agent_Sky_Watcher                                                                    0xc4a97d2b
ID_Connections_Agent_Speaker_Anais                                                                  0xeda64a9b
ID_Connections_Conversation                                                                         0x2c6d02c0
ID_Connections_CraftingCache1                                                                       0x65d8c9d2
ID_Connections_CraftingCache2                                                                       0x65d8c9d1
ID_Connections_CraftingCache3                                                                       0x65d8c9d0
ID_Connections_Haggler1                                                                             0xfc36db2e
ID_Connections_Haggler2                                                                             0xfc36db2d
ID_Connections_Haggler3                                                                             0xfc36db2c
ID_Connections_MerchantNetwork                                                                      0x869cfd59
ID_Connections_MerchantNetwork2                                                                     0x5a3ca84b
ID_ControllerRumble                                                                                 0x25f8874a
ID_Controls                                                                                         0x8ed51be3
ID_CursorSize                                                                                       0xe22497d8
ID_DamageDealtFloaties                                                                              0x7f118a8b
ID_DamageReceivedFloaties                                                                           0xd8bf64bc
ID_DialogueVolume                                                                                   0x4cde3d67
ID_Display                                                                                          0x064b754d
ID_Dracolisk                                                                                        0xae3fe051
ID_Dracolisk2                                                                                       0x763bea43
ID_Dracolisk3                                                                                       0x763bea42
ID_Dracolisk4                                                                                       0x763bea45
ID_Dracolisk5                                                                                       0x763bea44
ID_Dracolisk6                                                                                       0x763bea47
ID_Dracolisk_Prima                                                                                  0xd1e9e289
ID_Dracolisk_Root                                                                                   0xa9464d28
ID_Dracolisk_Warpaint                                                                               0x8af96c08
ID_Drapes                                                                                           0x99bf2186
ID_Drapes_Basic                                                                                     0xd56de4a3
ID_Drapes_Chantry                                                                                   0x2f3471e2
ID_Drapes_Chasind                                                                                   0x2f260b03
ID_Drapes_Circle                                                                                    0x85328c8b
ID_Drapes_DLC1                                                                                      0xb8e6d543
ID_Drapes_Dalish                                                                                    0x90e533c2
ID_Drapes_Dalish2                                                                                   0xad8bac30
ID_Drapes_Dragon2                                                                                   0x9413ffda
ID_Drapes_Dwarven                                                                                   0x8d62c9a4
ID_Drapes_Ferelden                                                                                  0x7839208e
ID_Drapes_FreeMarches                                                                               0x7e3ebbce
ID_Drapes_IP1                                                                                       0xbfc8a711
ID_Drapes_IP3                                                                                       0xbfc8a713
ID_Drapes_Inquisition                                                                               0xbabf6d55
ID_Drapes_Orlesian                                                                                  0x437c94d8
ID_Drapes_Qunari                                                                                    0x542aa689
ID_Drapes_Templar                                                                                   0xd513f92a
ID_Drapes_Tevinter                                                                                  0xac26e51a
ID_Drapes_Warden                                                                                    0x69d6e732
ID_EXIT_TO_MENU                                                                                     0x4cfcd3df
ID_EffectsFloaties                                                                                  0x66a281dc
ID_Forces                                                                                           0xa06a7539
ID_Forces_Agent_Celmence                                                                            0x987c0d4a
ID_Forces_Agent_Corporal_Vale                                                                       0xf62b103f
ID_Forces_Agent_DLC1_Storvaker                                                                      0x8a0f7534
ID_Forces_Agent_Loranil                                                                             0x010ffcbb
ID_Forces_Agent_Lord_Berand                                                                         0xa8b4fbf4
ID_Forces_Agent_Michel_De_Chevin                                                                    0xa9d88e38
ID_Forces_Agent_Ser_Barris                                                                          0xddbae4e2
ID_Forces_Agent_The_Blades_Of_Hessarian                                                             0xe7487a6a
ID_Forces_CombatXPBonus                                                                             0x5884a1dd
ID_Forces_Conversation                                                                              0xd434126b
ID_Forces_MoreHealingPotions                                                                        0x3943c4e3
ID_Forces_Mounts1                                                                                   0xfa6d3149
ID_Forces_Mounts2                                                                                   0xfa6d314a
ID_Forces_OutpostMomentum1                                                                          0xa046efa9
ID_Forces_OutpostMomentum2                                                                          0xa046efaa
ID_Forces_OutpostSurvival                                                                           0x5e8e7380
ID_Forces_RecipesMage                                                                               0x5aad7193
ID_Forces_RecipesRogue                                                                              0xb06400d7
ID_Forces_RecipesWarrior                                                                            0x934cb49f
ID_Forces_Requirement_WA_KeepTaken                                                                  0xbdf39601
ID_Formal_Var1                                                                                      0xa67a5e47
ID_Formal_Var3                                                                                      0xa67a5e45
ID_Formal_Var4                                                                                      0xa67a5e42
ID_Formal_Var5                                                                                      0xa67a5e43
ID_FriendlyFire                                                                                     0x11c68108
ID_GamePad                                                                                          0xdc17248c
ID_GamePadLeftDPadNew                                                                               0xd6abc0ba
ID_Gameplay                                                                                         0x5ee6fc3d
ID_HEROMENU_CHARACTERRECORD                                                                         0x1e31879f
ID_HEROMENU_CODEX                                                                                   0x51032dfe
ID_HEROMENU_INVENTORY                                                                               0xab4f81c1
ID_HEROMENU_JOURNAL                                                                                 0xd0133bea
ID_HEROMENU_MAP                                                                                     0x98e01017
ID_HUDVisibility                                                                                    0x37337268
ID_Heraldry                                                                                         0x4814a60a
ID_Heraldry_Basic                                                                                   0xd534792f
ID_Heraldry_Chantry                                                                                 0x602f166e
ID_Heraldry_Chasind                                                                                 0x602d738f
ID_Heraldry_Circle                                                                                  0x7eecf387
ID_Heraldry_DLC1                                                                                    0xc0a30b4f
ID_Heraldry_Dalish                                                                                  0x76e1b5ce
ID_Heraldry_Dwarven                                                                                 0x43ef2928
ID_Heraldry_Ferelden                                                                                0xffd1f482
ID_Heraldry_FreeMarches                                                                             0x08c4df42
ID_Heraldry_IP1                                                                                     0xee90ae9d
ID_Heraldry_IP3                                                                                     0xee90ae9f
ID_Heraldry_Inquisition                                                                             0x1c3b70d9
ID_Heraldry_Orlesian                                                                                0x14aac7d4
ID_Heraldry_Qunari                                                                                  0x4c3fed85
ID_Heraldry_Templar                                                                                 0x8c311ba6
ID_Heraldry_Tevinter                                                                                0x22b73416
ID_Heraldry_Warden                                                                                  0x4fc6a53e
ID_Herb_AmritaVein                                                                                  0xb8c2d403
ID_Herb_ArborBlessing                                                                               0x4ca06c72
ID_Herb_BlackLotus                                                                                  0x49e51703
ID_Herb_BloodLotus                                                                                  0xbd0571ae
ID_Herb_DawnLotus                                                                                   0x354ca778
ID_Herb_DeepMushroom                                                                                0xe103c39d
ID_Herb_DragonThorn                                                                                 0x3c52702b
ID_Herb_Elfroot                                                                                     0xdab5c25c
ID_Herb_Embrium                                                                                     0xd8cbfbbc
ID_Herb_Felandaris                                                                                  0x2d7e5fb8
ID_Herb_GhoulsBeard                                                                                 0xa26a872f
ID_Herb_ProphetsLaurel                                                                              0xd0c1ce21
ID_Herb_Rashvine                                                                                    0xf7948609
ID_Herb_RashvineNettle                                                                              0x9504e02b
ID_Herb_RoyalElfroot                                                                                0x275b92d5
ID_Herb_Spindleweed                                                                                 0x58d3fa6f
ID_Herb_VandalAria                                                                                  0x47b816fe
ID_Herb_Witherstalk                                                                                 0x900611c1
ID_Horse_1                                                                                          0x7818ff1a
ID_Horse_2                                                                                          0x7818ff19
ID_Horse_3                                                                                          0x7818ff18
ID_Horse_4                                                                                          0x7818ff1f
ID_Horse_5                                                                                          0x7818ff1e
ID_Horse_6                                                                                          0x7818ff1d
ID_Horse_7                                                                                          0x7818ff1c
ID_Horse_8                                                                                          0x7818ff13
ID_Horse_9                                                                                          0x7818ff12
ID_Horse_AMD                                                                                        0xe2568983
ID_Horse_Armored                                                                                    0xb4fcb469
ID_Horse_IP3                                                                                        0xe2566a01
ID_Horse_Logitech                                                                                   0x1928a83c
ID_Horse_Root                                                                                       0x2d30888d
ID_Horse_WarPaint                                                                                   0x0ebb594d
ID_INVENTORY                                                                                        0xa377627d
ID_Inquisition                                                                                      0x136f477b
ID_Inquisiton_CombatTalentPoint                                                                     0x6428d091
ID_Inquisiton_Conversation                                                                          0x3f81f100
ID_Inquisiton_Inventory1                                                                            0xe69ba676
ID_Inquisiton_Inventory2                                                                            0xe69ba675
ID_Inquisiton_PotionSlots1                                                                          0x39a18368
ID_Inquisiton_agent_horsemaster_dennet                                                              0x24809d5b
ID_Interface                                                                                        0x0c5d0392
ID_KeyBindings                                                                                      0x3dee9992
ID_LOAD                                                                                             0xc3fb2fd1
ID_MasterVolume                                                                                     0x87ba1fe3
ID_MouseScrollTacCam                                                                                0xf28828c2
ID_MusicVolume                                                                                      0xe3e7d11e
ID_Nug                                                                                              0xa8d913ab
ID_Nug2                                                                                             0xc3fb8939
ID_Nug3                                                                                             0xc3fb8938
ID_Nug4                                                                                             0xc3fb893f
ID_Nug5                                                                                             0xc3fb893e
ID_Nug_Root                                                                                         0xfe5ccd92
ID_Nug_WarPaint                                                                                     0x4dd88312
ID_OPTIONS                                                                                          0xc7437ee7
ID_OptionBrightness                                                                                 0x29502fbd
ID_PCTRIALTIMECONSUMED                                                                              0xa0ba191b
ID_PS4TRIALTIMECONSUMED                                                                             0x75149b7f
ID_Props                                                                                            0x41f0c359
ID_Props_Basic                                                                                      0x8f006a7c
ID_Props_Chantry                                                                                    0x1c22a23d
ID_Props_DLC1                                                                                       0x9f79a1fc
ID_Props_Dragon2                                                                                    0xb74313c5
ID_Props_Ferelden                                                                                   0xe8d7d671
ID_Props_FreeMarches                                                                                0x724abe91
ID_Props_IP1                                                                                        0x88b6648e
ID_Props_IP3                                                                                        0x88b6648c
ID_Props_Orlesian                                                                                   0x7230a227
ID_Props_Tevinter                                                                                   0xb4ea11e5
ID_QuestTracker                                                                                     0xc854f829
ID_RadialMenuBehavior                                                                               0x6be1b23b
ID_Rare                                                                                             0xc3f0c693
